Department=[Amazon.com],Search Term=[],Enter ASINs or Products=[],Reporting Range=[Weekly],Viewing=[11/8/20 - 11/14/20],,,,,,,,,,
Amazon.com,adidas,781,B08FSVL4SQ,adidas Women's Cloudfoam Pure Running Shoe,6.03%,6.42%,B07SCW7W4C,adidas Men's Adilette Shower Slides,5.85%,6.95%,B08GDJ5S7T,adidas Men's Tiro 19 Training Pants,4.39%,4.81%
Amazon.com,iphone 12 screen protector,782,B08HWGXBZN,"GESMA Compatible for iPhone 12 Screen Protector, [3 Screen Protectors+2 Camera Protector+1 Tray][Touch Sensitive] Tempered Glass Screen Protector Compatible for iPhone 12(Clear)",14.28%,0.53%,B08CV2B3DC,"Mkeke Compatible with iPhone 12 Screen Protector, Tempered Glass Screen Protector for iphone 12 Pro 6.1 inch [3-Pack]",13.26%,16.70%,B08GLHKZRQ,TOZO Compatible for iPhone 12 and Compatible for iPhone 12 Pro Screen Protector 3 Pack Premium Tempered Glass 0.26mm 9H Hardness 2.5D Film Super Easy 6.1 inch,11.21%,14.69%
Amazon.com,women's slippers,783,B087J39S8J,Jessica Simpson Women's Comfy Faux Fur House Slipper Scuff Memory Foam Slip on Anti-skid Sole,8.34%,7.44%,B089F79DHQ,Jessica Simpson Women's Soft Cable Knit Slippers With Indoor/Outdoor Sole,3.87%,4.03%,B07L7BKDRT,HALLUCI Women's Cross Band Soft Plush Fleece House Indoor or Outdoor Slippers,3.47%,2.64%
Amazon.com,watch,784,B07MB37YJ8,Mens Watches Ultra-Thin Minimalist Waterproof-Fashion Wrist Watch for Men Unisex Dress with Stainless Steel Mesh Band-Black Hands,5.97%,4.13%,B07K39FRSL,"Apple Watch Series 3 (GPS, 38mm) - Space Gray Aluminium Case with Black Sport Band",5.87%,2.18%,B07X2KLTJ2,"Letsfit Smart Watch, Fitness Tracker with Heart Rate Monitor, Activity Tracker with 1.3 Inch Touch Screen, IP68 Waterproof Pedometer Smartwatch with Sleep Monitor, Step Counter for Women and Men",4.78%,4.13%
Amazon.com,magnesium,785,B000BD0RT0,"Doctor's Best High Absorption Magnesium Glycinate Lysinate, 100% Chelated, TRACCS, Not Buffered, Headaches, Sleep, Energy, Leg Cramps, Non-GMO, Vegan, Gluten Free, Soy Free, 100 mg, 240 Tablets",21.41%,20.86%,B00H5PJ0HW,"Magnesium by Nature’s Bounty, 500mg Magnesium Tablets for Bone & Muscle Health, 200 Tablets",17.71%,19.64%,B07CDWT8WM,"Nature Made Extra Strength Magnesium Oxide 400 mg Softgels, 110 Count for Nutrition Support (Packaging May Vary)",9.53%,9.99%
Amazon.com,black mask,786,B08GQZYSWK,"Disposable Face Masks,Face Masks of 50 Pack Disposable Mask-Black",12.57%,16.11%,B08698VM3X,6pcs/Pack Black Face Mask Windproof Dustproof Face Masks Breathable Reusable Washed for Outdoor Sport Half Face Earloop Cotton Face Masks(Black),8.91%,8.63%,B088C2WD5F,"EnerPlex Premium 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks for Home Office Work Outdoors - LARGE (3-Pack)",8.67%,8.14%
Amazon.com,drawer organizers,787,B01DYXHI0E,"Simple Houseware Closet Underwear Organizer Drawer Divider 4 Set, Gray",18.72%,12.36%,B07WFMG6BZ,Kootek 16 Pcs Desk Drawer Organizer Set 5-Size Bathroom Drawer Tray Dividers Versatile Storage Bins Plastic Vanity Trays Organizers Divider Container for Dresser Makeup Kitchen Utensil Office,7.07%,8.22%,B08D6Y62B7,"16 Pcs Drawer Organizer Set Dresser Desk Drawer Dividers - 5 Size Bathroom Vanity Cosmetic Makeup Trays - Multipurpose Clear Plastic Storage Bins for Jewelries, Kitchen Gadgets and Office Accessories",6.53%,8.55%
Amazon.com,stocking stuffers women,788,B07FPJHPX1,"Celavi Collagen Facial Face Mask (12-Sheets) Classic Korean Skincare | Lighten, Moisturize, Tighten Skin | Diminish Dark Spots & Circles | Whiten, Brighten, Balance Pigmentation",5.37%,7.06%,B01FNQX11A,"5-Pack Lip Balm Gift Set by Naturistick. Assorted Flavors. 100% Natural Ingredients. Best Beeswax Chapsticks for Dry, Chapped Lips. Made in USA for Men, Women and Children",4.75%,7.14%,B0009F3R7E,"Burt's Bees Hand Repair Gift Set, 3 Hand Creams plus Gloves Almond Milk Hand Cream, Lemon Butter Cuticle Cream, Shea Butter Hand Repair",4.31%,6.17%
Amazon.com,cookies,789,B00XM5KSV6,"Royal Dansk Danish Butter Cookies, 24 Oz. (1.5 Lb)",5.82%,4.55%,B078J29KY9,"365 by Whole Foods Market, Ready-To-Eat Two-Bite Chocolate Chip Cookies, 10.5 Ounce",3.82%,4.89%,B076BYR9JP,Grandma's Cookies Variety Pack of 30,3.62%,2.35%
Amazon.com,purse,790,B07DCM378H,Handbags for Women Tote Bag Shoulder Bags Fashion Satchel Top Handle Structured Purse Set Designer Purses 3PCS PU Stand Gift Light Blue,6.49%,5.27%,B07ZRM41PQ,Handbags for Women Shoulder Bags Tote Satchel Hobo 3pcs Purse Set,6.00%,6.29%,B07Q4J44HL,Nodykka Women Tote Bags Top Handle Handbags PU Faux Leather Tassel Shoulder Purse,3.52%,6.69%
Amazon.com,waterpik,791,B07DQSC9B5,"Waterpik Cordless Water Flosser, Battery Operated & Portable for Travel & Home, ADA Accepted Cordless Express, White WF-02",18.87%,20.16%,B072JFVXSY,"Waterpik WP-663 Water Flosser Electric Dental Countertop Professional Oral Irrigator For Teeth, Aquarius, Blue",11.79%,11.26%,B01GNVF7YI,"Waterpik Cordless Water Flosser Rechargeable Portable Oral irrigator for Travel & Home – Cordless Advanced, Wp-563 Classic Blue",8.74%,8.56%
Amazon.com,nintendo,792,B089GGCX31,"Classic Game Consoles HD Retro Game Console with Built-in 400 NES Games and 2 NES Classic Controller,AV and HDMI HD Output,Children Gift,Birthday Gift Happy Child Memories,Childhood Classic Game",17.11%,19.03%,B07V4GCFP9,Nintendo Switch Lite - Turquoise,7.38%,2.83%,B089ZWLCNG,Oriflame 620 Retro Classic Video Game Console AV Output Mini NES Console 620 in 1 Built-in Plug and Play Video Games with 2 Controllers Handheld Games for Kids & Adults (Small),5.14%,11.07%
Amazon.com,anime hoodie,793,B08F5CQF5B,Sunshine-G Women's HxH Hunter x Hunter Friends Anime Hoodie Gon Killua Sweatshirt,12.69%,8.32%,B08FWRWD6Z,Meelanz Unisex Hoodie Anime Pullover Sweatshirt Long Sleeve for Men Women,8.20%,2.29%,B081N2FL27,Men's Unisex Hoodies Sweatshirt Pullovers 3D Print Tracksuit Zip-up Jacket,7.07%,3.95%
Amazon.com,rugs for living room,794,B01DW94S3A,"nuLOOM Moroccan Blythe Area Rug, 5' x 7' 5, Grey/Off-white",9.28%,9.46%,B07T6FYJPX,"LOCHAS Luxury Velvet Shag Area Rug Mordern Indoor Plush Fluffy Rugs, Extra Soft and Comfy Carpet, Geometric Moroccan Rugs for Bedroom Living Room Girls Kids Nursery, 5x8 Feet Beige/White",5.57%,6.67%,B00LPRFR8C,"Home Dynamix Tribeca Slade Modern Area Rug, Abstract Brown/Red 39x55",4.40%,4.34%
Amazon.com,clothes,795,B08N2HH4HP,Wrangler Authentics Men's Long Sleeve Quilted Lined Flannel Shirt Jacket With Hood,8.28%,3.28%,B07TVJ1BZ4,Lemedy Women Padded Sports Bra Fitness Workout Running Shirts Yoga Tank Top,7.47%,1.64%,B07KMZ2D38,FITTOO Womens High Waisted Yoga Pants Tummy Control Scrunched Booty Leggings Workout Running Butt Lift Textured Tights,7.39%,4.92%
Amazon.com,car accessories for women,796,B08BZFFHM9,"YR 2.75 Inches Car Coasters for Drinks Absorbent, Cute Car Coasters for Women, Removable Cup Holder Coaster for Your Car, Auto Accessories for Women & Girls, Set of 2 -Leopard",8.30%,10.70%,B01KVZ5DIW,"Car LED Strip Light, EJ's SUPER CAR 4pcs 36 LED Car Interior Lights Under Dash Lighting Waterproof Kit,Atmosphere Neon Lights Strip for Car,DC 12V(Pink)",7.51%,6.19%,B01LMMXTV6,KMMOTORS Jopps Foldable Car Garbage Can Patented Car Wastebasket Comfortable Multifuntional Artificial Leather and Oxford Clothes Car Organizer Enough Storage for Garbage,5.47%,5.54%
Amazon.com,ps5 preorder,797,B08FC5L3RG,PlayStation 5 Console,45.57%,23.40%,B08FC6MR62,PlayStation 5 Digital Edition,8.93%,2.13%,B08FC6C75Y,DualSense Wireless Controller,7.32%,6.38%
Amazon.com,iphone 11 screen protector,798,B07H2V5YLH,"Ailun Glass Screen Protector Compatible for iPhone 11/iPhone XR, 6.1 Inch 3 Pack Tempered Glass 2.5D Edge Anti Scratch Work with Most Case",34.50%,37.08%,B07GZSDHSK,"JETech Screen Protector for iPhone 11 and iPhone XR, 6.1-Inch, Tempered Glass Film, 2-Pack",13.99%,15.12%,B07HRN9J19,"Mkeke Compatible with iPhone XR Screen Protector, IPhone 11 Screen protector,Tempered Glass Film for Apple iPhone XR & iPhone 11, 3-Pack Clear",10.75%,11.26%
Amazon.com,underwear for women,799,B01LL9ITX8,ANZERMIX Women's Breathable Cotton Thong Panties Pack of 6,13.28%,11.28%,B07XCXSS3L,POKARLA Women's Soft Cotton Briefs Underwear Breathable High Waisted Full Coverage Ladies Panties 5-Pack(Small),6.86%,7.77%,B08JX4PXJ2,Fruit of the Loom Women's Underwear Beyondsoft Panties (Regular & Plus Size),5.69%,8.02%
Amazon.com,trump,800,B08LMJ93LL,The Plot Against the President,23.58%,2.31%,B08LMJ2G96,Trump Card,10.79%,39.52%,B08LN2X4RH,The Plot Against the President,6.02%,0.44%
Amazon.com,folding table,801,B003YJPC2A,"Lifetime Height Adjustable Craft Camping and Utility Folding Table, 4 ft, 4'/48 x 24, White Granite",10.11%,12.29%,B00D49B0US,"Best Choice Products 6ft Indoor Outdoor Heavy Duty Portable Folding Plastic Dining Table w/Handle, Lock for Picnic, Party, Camping - White",9.83%,13.90%,B00DOZTM3O,"Cosco Deluxe 6 foot x 30 inch Fold-in-Half Blow Molded Folding Table, Black",9.54%,11.40%
Amazon.com,walkie talkies,802,B01DM7AESK,"Motorola T100 Talkabout Radio, 2 Pack",20.34%,22.40%,B08HCGMMNM,"Walkie Talkies 4 Pack, MTM 22 Channels Two Way Radios Walkie Talkies for Kids and Adults Handheld Long Range Clear Sound with Noise Cancelling for Camping Hiking?Orange?",8.13%,9.49%,B07ZBDKDT5,"Retevis RT38 Walkie Talkies for Adults Long Range, Portable FRS Two-Way Radios, Battery Powered Small Walkie Talkies with Flashlight,Ideal for House,Park,Camping and Gifts(Blue, 2 Pack)",6.11%,7.96%
Amazon.com,christmas dresses for women,803,B07JPK4DX4,"TOTOD Christmas Vintage Dress 2020, Women Elegant Long Sleeve Print Dresses - O Neck Xmas Evening Party Swing Dress",6.31%,3.58%,B07Y65DDRH,Chrismtas Dresses for Women Sleeveless Vintage Cocktail Dress Funny Printed Birthday Holiday Swing Party Dress,6.11%,6.23%,B00N40SW3K,Leg Avenue Women's 2 Piece Mrs. Claus Costume,5.82%,3.02%
Amazon.com,ipad 8th generation case,804,B07XXZP2CK,"ProCase iPad 10.2 Case 2020 iPad 8th Generation Case / 2019 iPad 7th Generation Case, Slim Stand Hard Back Shell Protective Smart Cover for 10.2 iPad 8 / iPad 7 -Navy",9.54%,11.11%,B07ZLT64PZ,"Fintie Rotating Case for New iPad 8th Generation (2020) / 7th Generation (2019) 10.2 Inch - [Built-in Pencil Holder] 360 Degree Rotating Smart Protective Stand Cover with Auto Sleep/Wake, Purple",8.49%,9.40%,B07YZ41SVJ,"SEYMAC Stock iPad 8th/7th Generation Case, Three Layer Hybrid Drop Protection Case with [360 Rotating Stand] Hand Strap &[Stylus Pencil Holder] for 2020/2019 New iPad 8 /7 Generation 10.2 Inch (Black)",8.37%,9.90%
Amazon.com,ipad case,805,B07XXZP2CK,"ProCase iPad 10.2 Case 2020 iPad 8th Generation Case / 2019 iPad 7th Generation Case, Slim Stand Hard Back Shell Protective Smart Cover for 10.2 iPad 8 / iPad 7 -Navy",20.26%,27.98%,B07QPV9Z7X,"JETech Case for iPad 8 / 7 (10.2-Inch, 2020 / 2019 Model, 8th / 7th Generation), Auto Wake/Sleep Cover, Black",10.21%,13.40%,B07WS5H7HK,"MoKo Case Fit New iPad 8th Gen 2020 / 7th Generation 2019, iPad 10.2 Case - Slim Smart Shell Stand Cover with Translucent Frosted Back Protector for iPad 10.2, Rose Gold(Auto Wake/Sleep)",5.55%,5.19%
Amazon.com,fall dresses for women,806,B07GBWVS3Z,Amoretu Women Summer Tunic Dress V Neck Casual Loose Flowy Swing Shift Dresses,6.94%,10.05%,B07J46DYNB,Xuan2Xuan3 Women's Fleece Long Sweatshirt Dress Crewneck Pullover Casual Long Sleeve Bodycon Mini Sweater Dress,5.14%,3.23%,B07QBYD6QD,FANCYINN Women’s Cute Shift Dress with Pockets Fully Lined Bell Sleeve Ruffle Hem V Neck Loose Swing Tunic Mini Dress,3.61%,3.70%
Amazon.com,disinfectant spray,807,B001WTAU1M,Lysol Disinfectant Spray With Crisp linen Scent - 19 Oz (pack of 6),23.39%,9.20%,B00F9E2XR0,"Lysol Disinfectant Spray, Crisp Linen, 19 Ounce (Pack of 8)",8.76%,3.61%,B009A5C29S,"Disinfectant Spray, 19 oz Aerosol, 12/Carton",6.11%,2.65%
Amazon.com,shower curtain liner,808,B00QI0IDWS,"LiBa PEVA 8G Bathroom Shower Curtain Liner, 72 W x 72 H, Frosted, 8G Heavy Duty Waterproof Shower Curtain Liner Anti-Microbial Mildew Resistant",16.46%,18.05%,B0829DBXHT,"LiBa PEVA 8G Bathroom Shower Curtain Liner, 72 W x 72 H, White, 8G Heavy Duty Waterproof Shower Curtain Liner Anti-Microbial Mildew Resistant",12.56%,13.89%,B07236M4HC,"AmazerBath Plastic Shower Curtain, 72 x 72 Inches EVA 8G Shower Curtain with Heavy Duty Clear Stones and 12 Grommet Holes Thick Bathroom Plastic Shower Curtains-Clear",11.83%,11.85%
Amazon.com,dog,809,B0825B18T4,Two Pack Plush Squeaky Dog Toys Funny Drink Parody Squeaker,4.55%,2.19%,B01MV0IX66,"Best Friends by Sheri The Original Calming Donut Cat and Dog Bed in Shag Fur, Small 23x23 in Taupe, Machine Washable",4.15%,1.46%,B088C4NHRS,"[New 2020] Petcube Cam Pet Monitoring Camera with Built-in Vet Chat for Cats & Dogs, Security Camera with 1080p HD Video, Night Vision, Two-Way Audio, Magnet Mounting for Entire Home Surveillance",3.75%,1.64%
Amazon.com,elf on the shelf accessories,810,B075KGHP4L,ELF Flex Elf Upgrade Kit: Make Your Elf Amazing! This Kit Will Make Your Elf Flexible and Bendable! You Will Be Able to Bend Em Grip Em Stick Em Hang Em Elf Accessories,9.57%,9.41%,B07K738TDH,E-TING Sleeping Bag Christmas Accessory for Elf Doll (Doll is not Included) (Sleeping Bag + Bathrobe),8.07%,12.46%,B07P9R95PT,"The Elf on the Shelf 2019 Accessory Value Pack - Fishing Outfit, Hut, Switch It Sweater with 6 Interchangeable Designs",7.31%,6.27%
Amazon.com,heated socks,811,B07MVT984Q,GLOBAL VASION Heated Scoks Winter Electric Rechargeable 3 Heating Settings Thermal Sock for Men and Women,63.48%,3.22%,B08HGHPFST,SNOW DEER Heated Socks for Men & Women Battery Socks Powered Thermal Ski Socks Winter Foot Warmer with Temperature Control Long Cotton Socks for Skiing Hiking Hunting Motorcycling Riding … (L),4.78%,0.00%,B07HGGX9TF,"NY GOLDEN FASHION 3 Pairs Women Heated Sox Thermal Insulated Winter Heavy Duty Thick Crew Socks (Mix 3 Pairs (Purple/Blue/Pink)), 44085",3.44%,6.73%
Amazon.com,ski mask,812,B07ZDLW96H,3 Hole Beanie Face Mask Ski - Warm Double Thermal Knitted - Men and Women (Neon Green),14.48%,12.65%,B00AF0SRAK,"TopHeadwear 3-Hole Ski Face Mask Balaclava, Red",13.23%,12.04%,B081BFDCVN,3 Hole Beanie Face Mask Ski - Warm Double Thermal Knitted - Men and Women (Neon Yellow),10.33%,8.14%
Amazon.com,kindle books,813,B0841P328G,The Book of Two Ways: A Novel,9.49%,11.10%,B07QQLCZY1,American Dirt (Oprah's Book Club): A Novel,6.06%,4.57%,B07XFGG8Y4,Time Tunnel: The Twin Towers,5.21%,1.39%
Amazon.com,command hooks,814,B0751TRS6Y,"Command Small Wire Hooks, 16 Hooks, 24 Strips, Organize and decorate your dorm",13.34%,14.95%,B076ZRRFD4,"Command Clear Mini Light Clips, 45 clips, 54 strips, Indoor Use",10.61%,8.23%,B0753NHZVQ,"Command Large Utility Hooks, White, Ships In Own Container",10.52%,10.96%
Amazon.com,monitor stand,815,B009S750LA,VIVO Dual LCD Monitor Desk Mount Stand Heavy Duty Fully Adjustable fits 2 /Two Screens up to 27 (STAND-V002),12.93%,7.05%,B07NPJZGVR,"Superjare Monitor Stand Riser, Adjustable Screen Stand for Laptop Computer/TV/PC, Multifunctional Desktop Organizer - Cream Gray",8.43%,8.82%,B07H4DMLVH,"Monitor Stand Riser - 3 Height Adjustable Monitor Stand for Laptop, Computer, iMac, PC, Printer, Desktop Ergonomic Metal Monitor Riser Stand with Mesh Platform for Airflow by HUANUO",6.59%,10.37%
Amazon.com,toaster oven,816,B0721CGB5F,"BLACK+DECKER 4-Slice Toaster Oven with Natural Convection, Stainless Steel, TO1760SS",17.58%,23.17%,B078SD1JT8,"Toaster Oven 4 Slice, Multi-function Stainless Steel Finish with Timer - Toast - Bake - Broil Settings, Natural Convection - 1100 Watts of Power, Includes Baking Pan and Rack by Mueller Austria",7.18%,7.23%,B0758B74DS,"Hamilton Beach 2-in-1 Countertop Oven and Long Slot Toaster, Stainless Steel, 60 Minute Timer and Automatic Shut Off (31156)",6.80%,5.64%
Amazon.com,trash can,817,B07PD3YST7,"AmazonBasics Rectangular, Stainless Steel, Soft-Close, Step Trash Can - 5 Liter / 1.3 Gallon, Satin Nickel",9.81%,6.25%,B004L9L42O,"simplehuman Slim Kitchen Step Trash Can With Secure Slide Lock, 40 Liter / 10.6 Gallon, Black Plastic",6.99%,6.82%,B000EJVYTS,"iTouchless 13 Gallon Stainless Steel Automatic Trash Can with Odor-Absorbing Filter and Lid Lock, Sensor Kitchen Garbage Bin, Power by Batteries (not included) or Optional AC Adapter (sold separately)",6.81%,4.97%
Amazon.com,ring light with stand,818,B08B3X7NXC,"10'' Ring Light with 50'' Extendable Tripod Stand, Sensyne LED Circle Lights with Phone Holder for Live Stream/Makeup/YouTube Video/TikTok, Compatible with iPhone/Android",15.74%,17.51%,B08HVH8FPF,"UBeesize 10 Selfie Ring Light with Tripod Stand & Cell Phone Holder, Dimmable Desktop LED Circle Light for Live Streaming/Makeup/YouTube, Compatible with iOS and Android Phones",13.43%,14.72%,B07GDC39Y2,"Selfie Ring Light with Tripod Stand & Cell Phone Holder for Live Stream/Makeup, UBeesize Mini Led Camera Ringlight for YouTube Video/Photography Compatible with iPhone Xs Max XR Android (Upgraded)",8.26%,8.15%
Amazon.com,gallon water bottle,819,B087PXVLHH,Venture Pal Large 1 Gallon/128 OZ (When Full) Motivational BPA Free Leakproof Water Bottle with Straw & Time Marker Perfect for Fitness Gym Camping Outdoor Sports-Purple/Pink/Green Gradient,11.14%,10.30%,B083FJ8FSZ,"Giotto Large 1 Gallon/128oz (When Full) Motivational Water Bottle with Time Marker & Straw, Leakproof Tritan BPA Free for Fitness, Gym and Outdoor Sports-Green/Pink Gradient",8.34%,9.37%,B07C125Q9S,"BOTTLED JOY 1 Gallon Water Bottle, BPA Free Large Water Bottle Hydration with Motivational Time Marker Reminder Leak-Proof Drinking Big Water Jug for Camping Sports Workouts and Outdoor Activity",5.99%,7.03%
Amazon.com,advent calendar 2020 adult,820,B07G5KPXF5,"Advent Calendar for Alcohol & Adults | Gift Booze & Wine for Christmas 2020 | Great White Elephant & Holiday Party Hostess Present Idea | Alcohol Not Included. (1, Spirits)",13.24%,6.91%,B08FHYNFDN,Paladone Central Perk 12 Days of Bath Advent Calendar | Friends TV Show Countdown to Christmas,4.06%,2.59%,B07VYX7PDJ,L'Occitane Signature Holiday Advent Calendar Set,3.83%,3.45%
Amazon.com,table,821,B082F15B7H,"CubiCubi Study Computer Desk 55 Home Office Writing Desk, Industrial Simple Style PC Table, Black Metal Frame, Rustic",7.21%,7.41%,B00D49B0US,"Best Choice Products 6ft Indoor Outdoor Heavy Duty Portable Folding Plastic Dining Table w/Handle, Lock for Picnic, Party, Camping - White",6.46%,10.85%,B00NIYX9LC,"FURINNO Simplistic Study Table, Espresso",5.29%,5.56%
Amazon.com,vape,822,B08M3QY9K6,Genuine Official NORD X Kit Powerful Device (7-Color Cobra),9.68%,13.61%,B07CX5TBCL,"MightySkins Skin Compatible with SMOK X-Priv 225W - Cotton Candy | Protective, Durable, and Unique Vinyl Decal wrap Cover | Easy to Apply, Remove, and Change Styles | Made in The USA",8.68%,4.17%,B08M375D9D,Genuine Official NORD 2 Kit Excellent Device (Black Cobra),8.33%,16.94%
Amazon.com,jbl speaker,823,B07HKQ6YGX,JBL Charge 4 - Waterproof Portable Bluetooth Speaker - Black,20.20%,19.74%,B07QGXQDD3,"JBL FLIP 5, Waterproof Portable Bluetooth Speaker, Squad (New Model)",13.59%,15.08%,B07Q6ZWMLR,JBL CLIP 3 - Waterproof Portable Bluetooth Speaker - Black,8.96%,17.34%
Amazon.com,yeti tumbler,824,B07FM5HLMF,"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, Navy",20.66%,24.51%,B073WJRJZZ,"YETI Rambler 30 oz Stainless Steel Vacuum Insulated Tumbler w/MagSlider Lid, Black",10.96%,13.00%,B01N9S2RE8,"BEAST 20oz Teal Blue Tumbler - Insulated Stainless Steel Coffee Cup with Lid, 2 Straws & Brush by Greens Steel",7.73%,7.30%
Amazon.com,solar christmas lights,825,B07L885X7F,"Joomer 2 Pack Solar Christmas Lights 72ft 200 LED 8 Modes Solar String Lights Waterproof Solar Fairy Lights for Garden, Patio, Fence, Balcony, Outdoors (Multi-Color)",10.89%,11.54%,B07S2QY2KB,"JMEXSUSS 2 Pack Solar String Light 200LED 75.5ft 8 Modes Solar Christmas Lights Waterproof for Gardens, Wedding, Party, Homes, Christmas Tree, Halloween,Curtains, Outdoors (200LED-White-2Pack)",8.22%,10.28%,B0876NYJWN,"OZS- 2Pack Each 72FT 200LED Solar Lights Outdoor, Upgraded Super Bright Solar String Lights Outdoor Waterproof, 8 Modes Solar Christmas Lights for Wedding Patio Garden Tree Party (Warm White)",6.57%,7.65%
Amazon.com,the ordinary,826,B071D4D5DT,The Ordinary Peeling Solution 30ml AHA 30% + BHA 2%,21.89%,20.27%,B07TWQ2R37,THE ORDINARY AHA 30% + BHA 2% PEELING SOLUTION 30ML,16.76%,15.01%,B01MYEZPC8,The Ordinary Hyaluronic Acid 2% + B5 30ml,13.57%,16.28%
Amazon.com,surge protector,827,B000J2EN4S,"Belkin 12-Outlet Power Strip Surge Protector, 8ft Cord(3,940 Joules), Gray",19.17%,18.33%,B00DOMYL24,"GE 6 Outlet Surge Protector, 10 Ft Extension Cord, Power Strip, 800 Joules, Flat Plug, Twist-to-Close Safety Covers, White, 14092",10.55%,13.88%,B07Z5DZM31,"PHILIPS 6-Outlet Surge Protector Outlet Extender, 2 Pack, 900 Joules, 3-Prong, Space Saving Design, Protection Indicator LED Light, White, SPP3466WA/37",7.27%,7.13%
Amazon.com,dad gifts,828,B083C4TBT5,"Thoughtfully Gifts, Smokehouse Ultimate Grilling Spice Set, Grill Seasoning Gift Set Flavors Include Chili Garlic, Rosemary and Herb, Lime Chipotle, Cajun Seasoning and More, Pack of 20",6.82%,5.00%,B07W46L7HH,"I'll Feed All You - Funny Aprons for Men, Women with 3 Pockets - Dad Gifts, Gifts for Men - Birthday, Christmas, Thanksgiving Gifts for Husband, Dad, Wife, Mom - Miracu Cooking Grilling BBQ Chef Apron",4.91%,4.48%,B08C63F4G1,Columbia Men's Steens Mountain Full Zip 2.0 Fleece,3.98%,4.21%
Amazon.com,scrubs for women,829,B0741QK3WM,CHEROKEE Workwear Revolution Mock Wrap Scrub Top,12.35%,15.44%,B00RVUQJNO,Just Love Women's Scrub Sets Six Pocket Medical Scrubs (V-Neck with Cargo Pant),7.88%,11.04%,B07G8Q9GLJ,BARCO ONE 3-Pocket Boost Jogger Pant for Women– 4-Way Stretch Medical Scrub Pant,3.91%,2.07%
Amazon.com,dog clothes,830,B0177ON7TC,"Scheppend Adidog Pet Clothes for Dog Cat Puppy Hoodies Coat Winter Sweatshirt Warm Sweater,Black Extra Large",9.49%,12.98%,B0177ONBFW,"Scheppend Original Adidog Pet Clothes for Dog Cat Puppy Hoodies Coat Doggie Winter Sweatshirt Warm Sweater Dog Outfits, Red Large",4.06%,4.30%,B08CB5GH6N,"Warm Dog Sweater Winter Clothes - Plaid Patchwork Pet Doggy Knitted Sweaters Comfortable Coats for Cold Weather, Fit for Small Medium Large Dogs",3.36%,4.04%
Amazon.com,lego advent calendar 2020,831,B085B26VXX,"LEGO Harry Potter Advent Calendar 75981, Collectible Toys from The Hogwarts Yule Ball, Harry Potter and The Goblet of Fire and More, Great Christmas or Birthday Calendar Gift, New 2020 (335 Pieces)",20.87%,31.90%,B085B24B72,"LEGO Star Wars Advent Calendar 75279 Building Kit for Kids, Fun Calendar with Star Wars Buildable Toys Plus Code to Unlock Character in Star Wars: The Skywalker Saga Game, New 2020 (311 Pieces)",19.29%,31.64%,B085B2L642,"LEGO City Advent Calendar 60268 Playset, Includes 6 City Adventures TV Series Characters, Miniature Builds, City Play Mat, and Many More Fun and Festive Features, New 2020 (342 Pieces)",11.85%,6.90%
Amazon.com,exercise bike,832,B07D528W98,YOSUDA Indoor Cycling Bike Stationary - Cycle Bike with Ipad Mount ?Comfortable Seat Cushion (Gray),15.21%,13.14%,B01LYFWKMH,"XTERRA Fitness FB150 Folding Exercise Bike, Silver",9.88%,12.39%,B07PMD1WG8,Cyclace Indoor Exercise Bike Stationary Cycling Bike with Ipad Holder for Home Workout,6.60%,7.02%
Amazon.com,cricut maker,833,B072VYPWM4,"Cricut Maker, Champagne",18.18%,21.34%,B084KTSYNY,Cricut Explore Air (Previous Model) - Mint + Bonus Digital Inclusion,11.79%,14.92%,B084LMTR98,"Cricut Joy Machine - Compact and Portable DIY Machine For Quick Vinyl, HTV Iron On and Paper Projects | Makes Custom Decals, Custom T Shirt Designs, Personalized Greeting Cards, and Label Maker",11.01%,6.15%
Amazon.com,kettlebell,834,B0093CMYT6,Yes4All Vinyl Coated Kettlebell Weights Set – Great for Full Body Workout and Strength Training – Vinyl Kettlebell 10 lbs,11.50%,11.87%,B088824F42,"Everyday Essentials All-Purpose Color Vinyl Coated Kettlebell, 35 Pounds",6.54%,9.40%,B07F1RGQTR,"AmazonBasics Vinyl Kettlebell - 20 Pounds, Orange",5.42%,4.42%
Amazon.com,nike brand shop,835,B079RTVBXF,Nike Men's Pullover Fleece Club Hoodie,7.56%,6.55%,B08BBB2ZWT,Nike Men's Revolution 5 Running Shoe,6.68%,10.71%,B087CC87LS,Nike Men's Race Running Shoe,4.68%,3.57%
Amazon.com,dolls,836,B07J6TJR2P,Melissa & Doug Luke & Lucy Twin 15 Dolls,5.00%,9.76%,B07NSTW7BT,"Kindi Kids Snack Time Friends - Pre-School Play Doll, Marsha Mello - for Ages 3+ | Changeable Clothes and Removable Shoes - Fun Snack-Time Play, for Imaginative Kids",4.33%,5.75%,B07L63RXBG,"Reborn Baby Dolls Lucy, 22 inch Realistic Girl Doll, Lifelike Soft Vinyl Weighted Gift Set",4.15%,1.95%
